"Entrez Gene ID","gene","Ctrl","Ctrl.1","MandIL4","MandIL4.1","MandIL4.2","MandLPSandIFNg","MandLPSandIFNg.1","MandLPSandIFNg.2"
"66253","Aig1",4.9733,0.6166,2.0525,0,4.959,0,2.1045,5.6192
"66254","Dimt1",3.9064,3.7063,5.7171,5.3075,6.2486,4.5833,0,4.5053
"66256","Ssr2",4.2921,5.1378,5.8638,6.2858,5.8943,5.3758,5.8704,5.5063
"66257","Nicn1",5.6954,4.4019,3.4673,4.6966,5.2597,5.623,4.6726,4.6629
"66258","Mrps17",6.3433,6.6555,6.6248,7.036,7.6146,6.1352,5.7589,6.2689
"66259","Camk2n1",0.3716,1.5636,1.5382,0,4.6731,2.5533,3.7389,2.6327
"66260","Tmem54",0,0,0,0,0,0,0,0
"66261","Tm4sf20",0,0,0,0,0,0,0,0
"66262","Ing5",7.6837,7.3078,7.8691,8.0358,7.1219,8.0544,7.0222,7.0367
"66264","Ccdc28b",5.5558,5.975,0,4.2852,4.1228,5.79,4.5024,5.8466
"66266","Eapp",6.4222,6.7095,7.0136,4.9432,6.3551,6.0534,7.7986,7.6665
"66269","Tmed6",0,0,0,0,0,0,0,0
"66271","Tmem126a",4.2551,4.4503,5.812,6.1644,5.1403,3.545,5.9504,1.5416
"66272","Cox16",8.0735,7.9319,7.6365,7.3831,7.4178,7.845,7.6309,6.9388
"110599566","Ece2",2.4343,0.3911,4.196,4.4816,2.0961,0.7461,4.7145,4.9368
"66276","1810009A15Rik",6.4222,7.0868,7.6146,6.1866,7.9908,5.5392,6.45,5.7593
"66279","Tmem218",3.9357,4.6966,5.3611,5.0874,1.071,0.6331,4.7822,5.9401
"66282","1810029B16Rik",5.861,5.8104,6.7377,6.2076,6.8486,9.8539,10.2544,9.8539
"66283","Gkn1",0,0,0,0,0,0,0,0
"66284","Gkn2",0,0,0,0,0,0,0,0
"66286","Sec11c",9.9537,9.4141,9.6904,9.1147,10.2297,9.1842,10.3131,9.2504
"109791","Clps",0,0,0,0,0,0,0,0
"66289","1810030J14Rik",0,0,0,0,0,0,0,0
"66291","1810030N24Rik",4.2551,4.0272,5.6122,4.9432,4.3618,4.3428,5.5598,5.2277
"66294","Fam3a",3.762,4.1228,3.6319,0,1.071,3.4066,4.6726,3.2672
"64659","Mrps14",6.2813,6.4524,6.806,7.8328,7.6907,5.8939,6.5131,5.9927
"66296","Haus2",5.991,6.1567,5.9215,7.7155,6.0277,6.7261,5.6882,6.3775
"66302","Fam82b",2.1412,6.2731,5.6122,4.7764,4.1908,6.6275,4.1239,3.1228
"66307","Isoc1",6.83,7.4178,8.6668,6.5481,8.1373,8.6692,8.9931,9.3062
"66308","2810021B07Rik",8.5813,8.2052,8.1933,8.3814,7.6665,7.6486,8.1304,7.7389
"66309","Tmem128",8.1438,8.3955,8.5421,8.4854,7.6981,9.0985,8.3478,8.2452
"66313","Smurf2",7.2861,8.0835,7.306,7.3205,7.2639,7.6605,7.7626,7.5414
"66314","Tpd52l2",8.0529,7.6554,7.6881,8.305,7.9552,7.5777,7.5474,7.7445
"64655","Mrps22",5.8295,4.1061,5.8341,5.0874,3.8971,4.814,5.7089,5.9539
"66320","Tmem208",6.0314,6.2422,5.2022,6.3874,5.7204,6.0277,6.2994,6.2834
"66322","1700011A15Rik",0,0,0,0,0,0,0,0
"66323","1700001K19Rik",0,0,0,0,0,0,0,0
"66328","1700010M22Rik",0.2044,0,0,0,0,0,0,0
"66329","Susd3",7.2143,7.5713,3.4673,5.7166,4.4961,5.7723,5.0394,5.2565
"66330","1700020L24Rik",1.1528,0.1304,0,0,0,0,0,0
"66335","Atp6v1c1",9.8467,9.0795,9.8084,9.503,9.2283,9.0376,9.4675,8.9228
"66336","Cenpp",2.9353,3.7063,3.6319,0,4.7435,0,0,0
"66338","Cdrt4",0,0,0,0,0,0,0,0
"66340","Psenen",8.4985,8.2967,7.1868,8.3886,7.7636,8.1419,8.3422,8.4448
"66341","Eid3",3.9357,4.1228,4.624,6.3484,5.472,6.3461,7.1588,6.2381
"56280","Mrpl37",5.8108,5.9073,4.2763,6.949,5.4061,6.2476,5.0067,5.8115
"66344","Lce3b",0,0,0,0,0,0,0,0
"66346","1700029P11Rik",0,0,0,0,0,0,0,0
"66349","Atp5sl",2.9353,5.7233,4.624,6.0343,3.1312,5.6993,4.9364,4.2479
"66353","Riiad1",4.6043,0.1221,0,0,0,0,0,0
