"Entrez Gene ID","gene","X0h_1","X0h_2","X0h_3","X0h_4","X4h_1","X4h_2","X4h_3","X4h_4","X8h_1","X8h_2","X8h_3","X8h_4","X16h_1","X16h_2","X16h_3","X16h_4","X24h_1","X24h_2","X24h_3","X24h_4"
"65970","Lima1",6.385521362,6.335174329,6.482047612,6.153615162,6.055037683,4.913447997,6.128319524,5.871426594,13.05399022,13.08508439,12.36347086,11.73389967,5.006805963,4.041907299,4.536072936,4.93117942,4.616310023,4.319384074,4.956625253,3.752267043
"207214","Larp4",6.122344406,5.876832686,5.740417781,5.31763607,5.411556137,5.611589203,5.877722125,5.566828223,5.290178527,6.787026126,5.620347566,5.820870351,5.86255536,5.531237105,5.951151372,6.898491697,4.44962538,4.881543198,4.549253017,3.227086304
"239667","Dip2b",2.479475883,2.340169528,2.684815708,2.385232683,1.052020697,0.720818235,0.820624054,0.802380532,0.924841318,0.927390154,0.75395338,0.65772553,1.742158869,1.394033641,1.569889721,1.910592502,2.205233411,1.605287742,2.023592008,1.862478123
"11908","Atf1",11.18265194,10.49582921,10.6344093,10.33922636,9.664010082,9.274293261,10.46280973,9.69669044,9.547322378,9.793379702,9.954742043,9.939785006,12.43221522,13.27225554,14.13148403,14.25767097,17.49980225,14.50283652,13.89531203,17.91588031
"18174","Slc11a2",4.952673075,5.244054463,5.082460313,5.208574915,43.75592194,40.59778147,42.46332798,42.71873943,32.77363946,31.11301276,32.09077316,31.41065428,17.34723382,17.08130051,17.68588314,16.80091546,18.36766033,14.31908301,16.47021626,17.93872949
"109901","Cela1",7.457469333,6.447416437,6.912523124,6.791477549,1.839405164,2.306679138,2.113255986,2.296309404,2.136847982,1.955631109,1.824355214,1.838364589,3.561663085,4.424353892,4.865052758,2.809350125,4.120199954,4.933420637,3.638309996,5.767603055
"15370","Nr4a1",0.329655732,0.353783985,0.408595927,0.365099271,1.711666773,1.26375795,1.449162816,1.230330916,1.28355798,1.105434656,1.048959749,0.938238226,0.339906224,0.211884022,0.26185341,0.351082739,0.387305859,0.426218897,0.284023913,0.481279782
"246277","Csad",3.394986227,3.198773002,3.679589497,3.424262566,1.630048769,1.402723775,1.67517883,1.662656604,0.978282116,1.099731567,0.986448876,1.083710265,1.4684585,1.234321872,1.391942589,1.140071077,1.027392608,1.3679056,1.757980538,1.171536073
"223920","Soat2",0.31517517,0.427502274,0.329695671,0.553844729,0.462681546,0.559282431,0.589075863,0.445758399,0.642676619,0.59625063,0.813389802,0.763845896,0.57153633,0.540204632,0.652303839,0.608574502,0.462866173,0.428458433,0.39424716,0.628856543
"16012","Igfbp6",0.199072422,0.240504531,0.377160058,0.216608056,0.350052851,0.478091636,0.310192941,0.339660621,0.494985513,0.392579211,0.424317596,0.575837602,0.609498979,0.909135977,0.864155498,0.664987093,1.661822761,1.311174856,1.123381554,2.248598005
"66151","Prr13",113.4068059,110.5517386,108.3995576,121.976129,95.96671823,90.70518573,90.72047674,91.9577984,138.5050036,134.5532794,142.0374471,142.8310733,142.1206405,140.1353327,143.8805415,159.1858247,164.1480228,158.734061,167.1065302,227.8464146
"26404","Map3k12",2.065435556,2.126627844,2.297738964,2.031805746,0.198214308,0.12255174,0.166338347,0.131042002,0.953355651,0.955900902,0.901910297,0.951601648,1.941477653,1.75839283,1.8095277,2.101682381,2.361136014,2.123806438,2.3372112,1.877779231
"21357","Tarbp2",3.631805496,4.040556861,3.356899056,3.658823867,5.530945582,5.298069486,5.018332748,5.23820426,6.841090337,6.257529764,6.668852829,6.574810526,5.995533024,6.107420689,5.762877972,5.129533811,4.679184591,4.976580368,4.747318087,5.821996623
"67488","Calcoco1",13.0974251,14.57051511,14.83782716,15.82691611,3.625331152,3.519850071,3.713653158,3.501139666,2.564136215,2.659942524,2.479282974,2.571774327,4.772799493,4.160325953,4.258352253,4.294586785,6.548924479,6.376007803,6.840183257,5.63130482
"246102","Rttn",2.037477959,2.398499328,2.48280672,2.28506598,0.634579891,0.642655295,0.724833697,0.606801517,0.178651052,0.245557413,0.148934941,0.170699245,0.255582319,0.274760107,0.271858458,0.277773609,0.685554817,0.573168661,0.734773147,0.554667476
"12575","Cdkn1a",146.0486199,140.5014229,140.4150318,139.5204159,789.6022286,736.9738274,717.2441861,741.3629319,329.2055086,321.2973555,331.3912906,335.954355,405.278954,379.5553514,388.8214828,425.0175814,449.9531051,338.564121,421.7877288,516.4001608
"52014","Nus1",16.85042636,15.63430112,15.64123008,15.18516653,24.70182531,26.22987877,26.48725545,25.1932362,24.80270879,28.81284754,28.24489543,28.32475013,30.03682006,30.06850839,30.23893484,31.55850695,31.69184314,33.59981605,32.03061239,41.66634171
"72140","Cep89",2.372795474,2.380142555,2.378245366,2.178088324,1.180267672,1.149600332,1.142446341,1.115912731,0.571528841,0.812731892,0.79113969,0.849663267,0.870957529,0.804749506,0.812912337,0.763736787,0.853008279,0.760049869,0.816510902,0.762381559
"70380","Mospd1",11.96390334,11.44510045,12.57973856,13.08890282,4.226092605,6.137785954,6.767845977,5.455881978,8.535750175,9.329529479,10.3100856,9.5397096,8.349383546,9.230536143,8.601421915,8.7370156,8.219662603,11.31980959,8.7473977,7.081299113
